"Year","Seasons","Urea","A_S","ACl","CAN","SSP","TSP","MOP","SOP","DAP","MAP","Rock","X10.26.26","X12.32.16","X14.35.14","X15.15.15","X16.20.0","X17.17.17","X19.19.19","X20.20.0","X23.23.0","X28.28.0","X14.28.14","NP.NPKs_other_than_DAP"
"1998-99","Rabi",10503.28,272.51,44.85,286.57,1865.95,NA,1156.61,4.54,3153.48,NA,63.7,163,162.55,36.53,181.32,108.91,408.08,39.36,710.09,102.4,113.92,0.26,2026.42
"1998-99","Total",20396.43,565.76,78.65,468.22,3692.52,NA,1620.94,15.97,5828.26,NA,125.08,317.5,297.63,124.71,379,209.66,757.6,78.01,1287.78,170.53,172.69,25.9,3821.01
"1999-00","Kharif",10134.15,323.71,30.84,180.12,1858.68,NA,982.6,9.38,3182.54,NA,70.4,238.72,242.45,104.15,198.92,110.8,377.32,39.94,754.99,138.78,91.48,NA,2297.55
"1999-00","Rabi",10143.6,314.39,44.35,167.13,1742.43,NA,1066.25,8.12,3754.35,NA,32.41,291.07,257,80.17,142.9,110.09,303.68,86.69,776.57,83.41,82.18,11.47,2225.23
"1999-00","Total",20277.75,638.1,75.19,347.25,3601.11,NA,2048.85,17.5,6936.89,NA,102.81,529.79,499.45,184.32,341.82,220.89,681,126.63,1531.56,222.19,173.66,11.47,4522.78
"2000-01","Kharif",9695.54,313.59,21.47,112,1641.7,NA,834.56,6.77,2420.36,NA,61.18,280.2,236.96,96.8,194.51,119.71,320.67,102.66,865.32,73.71,105.81,0.2,2396.55
"2000-01","Rabi",9490.91,301.5,46.01,130.87,1218.32,NA,994.7,2.9,3464.24,NA,20.2,298.23,309.37,68.46,135.21,80.99,295.54,139.38,856.73,65.9,124.67,9.12,2383.6
"2000-01","Total",19186.45,615.09,67.48,242.87,2860.02,NA,1829.26,9.67,5884.6,NA,81.38,578.43,546.33,165.26,329.72,200.7,616.21,242.04,1722.05,139.61,230.48,9.32,4780.15
"2001-02","Kharif",9706.4,251.8,21.95,92.37,1412.75,NA,948.93,9.45,2572.66,NA,51.66,262.18,228.96,60.15,189.58,86.12,207.98,120.84,889.68,84.86,105.07,3.09,2238.51
"2001-02","Rabi",10210.9,286.96,51.63,89.6,1191.88,NA,1043.54,8.88,3608.38,NA,29.4,318.76,341.29,82.11,160.18,109.33,343.47,165.94,983.39,82.2,130.75,7.42,2724.84
"2001-02","Total",19917.3,538.76,73.58,181.97,2604.63,NA,1992.47,18.33,6181.04,NA,81.06,580.94,570.25,142.26,349.76,195.45,551.45,286.78,1873.07,167.06,235.82,10.51,4963.35
